name,price,link,genre,record_label,record_country,record_cat,record_grade,sleeve_grade,record_info
Germaine Dugas - Germaine Dugas (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382553-germaine-dugas-germaine-dugas,  Francophone   ,  RCA Victor   ,  Canada   ,  CGPS 153   ,  VG+  ,  NM ,
Gilbert Becaud - L Important C est la Rose (Vinyle Usagé),$2.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00238120-gilbert-becaud-l-important-c-est-la-rose,  Francophone   ,  Pathe   ,  Canada   ,  PAM 67 233   ,  VG+  ,  VG+ ,  .   
Ginette Ravel - Hourrah (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382556-ginette-ravel-hourrah,  Francophone   ,  RCA Victor   ,  Canada   ,  PCS 1129   ,  VG+  ,  VG+ ,
Ginette Ravel - Hourrah (Vinyle Usagé),$9.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00134572-ginette-ravel-hourrah,  Francophone   ,  RCA Victor   ,  Canada   ,  PCS 1129   ,  NM  ,  NM ,
Gracie Fields - Focus On Gracie Fields (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382717-gracie-fields-focus-on-gracie-fields,  Vocal Femme   ,  Decca   ,  UK   ,  FOS 37/8   ,  NM  ,  VG+ ,  2 LP / Pochette Gatefold   
Haendel / Paillard - Les Concertos Pour Orgue Vol 1 (Vinyle Usagé),$5.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382469-haendel-paillard-les-concertos-pour-orgue-vol-1,  Classique   ,  Erato   ,  France   ,  DUE 20224   ,  NM  ,  VG+ ,  2 LP / Pochette Gatefold   
Haendel / Paillard - Les Concertos Pour Orgue Vol 2 (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382470-haendel-paillard-les-concertos-pour-orgue-vol-2,  Classique   ,  Erato   ,  France   ,  DUE 20226   ,  VG+  ,  VG+ ,  Gatefold 2 LP   
Hamal / Lemaire - In Exitu Israel / Various (Vinyle Usagé),$3.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382471-hamal-lemaire-in-exitu-israel-various,  Classique   ,  Erato   ,  France   ,  STU 70352 Erato   ,  NM  ,  VG+ ,
Handel / Leppard - Concerti A Due Cori (Vinyle Usagé),$1.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382472-handel-leppard-concerti-a-due-cori,  Classique   ,  Philips   ,  UK   ,  SAL 3707   ,  VG+  ,  VG+ ,
Hank Williams - Country And Western Classics (Vinyle Usagé),$11.99,https://aux33tours.com/collections/nouveaux-arrivages-usage/products/lp00382719-hank-williams-country-and-western-classics,  Country   ,  Time Life   ,  USA   ,  TLCW 01   ,  NM  ,  VG ,  Coffret 3 LP avec Livret   
