name,price,link
Big Bill Broonzy - Live In Amsterdam 1953 (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/rs00059462-big-bill-broonzy-live-in-amsterdam-1953
Buddy Guy - The Blues Is Alive And Well (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/buddy-guy-the-blues-is-alive-and-well
Muddy Waters - Hard Again (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00007849-muddy-waters-hard-again
RL Burnside - Ass Pocket Of Whiskey (Vinyle Neuf),$18.99,https://aux33tours.com/collections/nouveautes/products/ln00002276-rl-burnside-ass-pocket-of-whiskey
RL Burnside - Sound Machine Groove (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00010939-rl-burnside-sound-machine-groove
Stevie Ray Vaughan and Double Trouble - Texas Flood (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00005652-stevie-ray-vaughan-and-double-trouble-texas-flood
Taj Mahal - Taj Mahal (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/ln00034195-taj-mahal-taj-mahal
