name,price,link,genre
Harmonia - Documents,$31.99,https://aux33tours.com/collections/nouveautes/products/ln00030823-harmonia-documents,Ambient
Jon Hassell - Vernal Equinox,$29.99,https://aux33tours.com/collections/nouveautes/products/jon-hassell-vernal-equinox,Ambient
Klaus Schulze / Pete Namlook - The Dark Side Of The Moog Vol 1,$49.99,https://aux33tours.com/collections/nouveautes/products/klaus-schulze-pete-namlook-the-dark-side-of-the-moog-vol-1,Ambient
Perila - How Much Time Is It Between You And Me,$22.99,https://aux33tours.com/collections/nouveautes/products/ln00061432-perila-how-much-time-is-it-between-you-and-me,Ambient
Shiho Yabuki - The Body Is A Message Of The Universe,$31.99,https://aux33tours.com/collections/nouveautes/products/rs00059520-shiho-yabuki-the-body-is-a-message-of-the-universe,Ambient
Steve Roach - Structures From Silence,$31.99,https://aux33tours.com/collections/nouveautes/products/steve-roach-structures-from-silence,Ambient
Tangerine Dream - Live At Reims Cinema Opera,$49.99,https://aux33tours.com/collections/nouveautes/products/rs00053292-tangerine-dream-live-at-reims-cinema-opera,Ambient
